In the following it is displayed the suspiciousness, according to different coefficients, for those OCL constraints that are not satisfied. 


OCL7;SrcPhDThesis.allInstances()->forAll(b | TrgPara.allInstances()->exists(p | p.content = '[' + b.id + '] PhDThesis ' + b.title + ' ' + b.authors->iterate(e; str : String = '' | str + e.author + ' ') + b.year + ' ' + b.school and p.section.title = 'References List') and TrgPara.allInstances()->exists(p | p.content = b.title and p.section.title = 'Titles List'))
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3888888888888889;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2777777777777778

OCL24;SrcTitledEntry.allInstances()->iterate(e; te : Sequence(SrcTitledEntry) = Sequence {} |	if te->collect(ee | ee.title)->includes(e.title) then	te else	te->including(e) endif) -> size() = TrgSect1.allInstances()->select(s | s.title = 'Titles List') -> asSequence() -> first().paras -> size()
;Cohen;Braun-Banquet;Simple Matching;Kulcynski2;Barinel;Arithmetic Mean;Mountford;Zoltar;Ochiai;Phi;Op2;Russel Rao;Baroni-Urbani & Buser;Pierce;Ochiai2;Rogers & Tanimoto;DStar;Tarantula
Article_Title_NoJournal;0.05236907730673317;0.29577464788732394;0.34210526315789475;0.647887323943662;1.0;0.1390728476821192;0.04;0.29577464788732394;0.5438516782058542;0.16397745074672032;21.0;0.27631578947368424;0.3845922889582617;0.6774193548387096;0.16395184655067974;0.20634920634920634;8.82;1.0
TitledEntry_Title_NoArticle;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;71.0;0.9342105263157895;1.0;0.0;0.9997183891861446;1.0;1.0;1.0
Article_NoTitle_Journal;0.017241379310344827;0.29577464788732394;0.32894736842105265;0.6251600512163893;0.9545454545454546;0.0440699935191186;0.035866780529461996;8.793408731994449E-4;0.5313476693377204;0.052354801845069986;20.833333333333332;0.27631578947368424;0.3716515138991168;0.7565337001375516;0.12932724308139437;0.1968503937007874;8.647058823529411;0.5965909090909091
Article_Title_Journal;0.023084994753410283;0.323943661971831;0.35526315789473684;0.6411384976525822;0.9583333333333334;0.05489706799750468;0.03761242845461979;0.0010982942182802664;0.5571768205782356;0.0661045277962161;22.833333333333332;0.3026315789473684;0.39944844644238936;0.7721179624664879;0.13819779561931117;0.216;10.795918367346939;0.6182795698924732
Author;0.16603053435114504;0.6901408450704225;0.6973684210526315;0.8350704225352112;0.98;0.21027190332326284;0.08368915456874466;0.010741383629791348;0.8223977311307552;0.25613173750158263;48.833333333333336;0.6447368421052632;0.7325581395348837;0.8744038155802861;0.28847374610418886;0.5353535353535354;104.3913043478261;0.7753164556962026
Article_NoTitle_NoJournal;0.0;0.0;0.06578947368421052;0.0;NaN;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.034013605442176874;0.0;0.0
UntitledEntry;0.0832854681217691;0.4084507042253521;0.4473684210526316;0.704225352112676;1.0;0.16880093131548313;0.047619047619047616;0.4084507042253521;0.6391014819458269;0.20845191910166025;29.0;0.3815789473684211;0.49422936525924765;0.7435897435897436;0.20842195637284036;0.288135593220339;20.023809523809526;1.0
Main;0.0;0.9342105263157895;0.9342105263157895;0.9671052631578947;0.9342105263157895;0.0;0.4;0.9342105263157895;0.966545666958261;0.0;70.16666666666667;0.9342105263157895;0.9342105263157895;0.0;0.0;0.8765432098765432;1008.2;0.5
TitledEntry_NoTitle_NoArticle;0.07065217391304347;0.36619718309859156;0.40789473684210525;0.6830985915492958;1.0;0.15709969788519637;0.044444444444444446;0.36619718309859156;0.6051422833504461;0.19136279238623988;26.0;0.34210526315789475;0.453895121420202;0.7222222222222222;0.19133462751808447;0.256198347107438;15.022222222222222;1.0
EXAM-BC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111
EXAM-WC;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.4444444444444444
EXAM-AVG;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3888888888888889;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2777777777777778


Summary of the quality of the different techniques according to the EXAM metric

BEST CASE;Cohen-BC;Braun-Banquet-BC;Simple Matching-BC;Kulcynski2-BC;Barinel-BC;Arithmetic Mean-BC;Mountford-BC;Zoltar-BC;Ochiai-BC;Phi-BC;Op2-BC;Russel Rao-BC;Baroni-Urbani & Buser-BC;Pierce-BC;Ochiai2-BC;Rogers & Tanimoto-BC;DStar-BC;Tarantula-BC
OCL7;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111
OCL8;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.7777777777777778;0.7777777777777778;0.4444444444444444;0.1111111111111111;0.7777777777777778;0.4444444444444444;0.7777777777777778;0.8888888888888888;0.6666666666666666;0.7777777777777778
OCL9;0.5555555555555556;0.5555555555555556;0.8888888888888888;0.4444444444444444;0.6666666666666666;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.1111111111111111;0.5555555555555556;0.4444444444444444;0.5555555555555556;0.8888888888888888;0.4444444444444444;0.5555555555555556
OCL11;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778;0.6666666666666666;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.1111111111111111;0.7777777777777778;0.3333333333333333;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778
OCL17;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111
OCL19;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111
OCL24;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.7777777777777778;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.1111111111111111

WORST CASE;Cohen-WC;Braun-Banquet-WC;Simple Matching-WC;Kulcynski2-WC;Barinel-WC;Arithmetic Mean-WC;Mountford-WC;Zoltar-WC;Ochiai-WC;Phi-WC;Op2-WC;Russel Rao-WC;Baroni-Urbani & Buser-WC;Pierce-WC;Ochiai2-WC;Rogers & Tanimoto-WC;DStar-WC;Tarantula-WC
OCL7;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.4444444444444444
OCL8;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.7777777777777778;0.7777777777777778;0.4444444444444444;0.5555555555555556;0.7777777777777778;1.0;0.7777777777777778;0.8888888888888888;0.6666666666666666;0.7777777777777778
OCL9;0.5555555555555556;0.5555555555555556;0.8888888888888888;0.4444444444444444;0.6666666666666666;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.5555555555555556;0.5555555555555556;1.0;0.5555555555555556;0.8888888888888888;0.4444444444444444;0.5555555555555556
OCL11;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778;0.6666666666666666;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.6666666666666666;0.7777777777777778;1.0;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778
OCL17;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.4444444444444444
OCL19;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.4444444444444444
OCL24;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.5555555555555556;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.2222222222222222;0.1111111111111111;1.0;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.4444444444444444

AVG CASE;Cohen-AVG;Braun-Banquet-AVG;Simple Matching-AVG;Kulcynski2-AVG;Barinel-AVG;Arithmetic Mean-AVG;Mountford-AVG;Zoltar-AVG;Ochiai-AVG;Phi-AVG;Op2-AVG;Russel Rao-AVG;Baroni-Urbani & Buser-AVG;Pierce-AVG;Ochiai2-AVG;Rogers & Tanimoto-AVG;DStar-AVG;Tarantula-AVG
OCL7;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3888888888888889;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2777777777777778
OCL8;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.7777777777777778;0.7777777777777778;0.4444444444444444;0.33333333333333337;0.7777777777777778;0.7222222222222222;0.7777777777777778;0.8888888888888888;0.6666666666666666;0.7777777777777778
OCL9;0.5555555555555556;0.5555555555555556;0.8888888888888888;0.4444444444444444;0.6666666666666666;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.4444444444444444;0.33333333333333337;0.5555555555555556;0.7222222222222222;0.5555555555555556;0.8888888888888888;0.4444444444444444;0.5555555555555556
OCL11;0.7777777777777778;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778;0.6666666666666666;0.7777777777777778;0.7777777777777778;0.5555555555555556;0.38888888888888884;0.7777777777777778;0.6666666666666666;0.7777777777777778;0.8888888888888888;0.7777777777777778;0.7777777777777778
OCL17;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3888888888888889;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2777777777777778
OCL19;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3888888888888889;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2777777777777778
OCL24;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.3888888888888889;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.1111111111111111;0.16666666666666666;0.1111111111111111;0.8888888888888888;0.1111111111111111;0.1111111111111111;0.8888888888888888;0.2777777777777778
